ds,y
2025-05-27,264.38915961721506
2025-05-28,263.1087923972848
2025-05-29,300.3382158767332
2025-05-30,296.2124596090241
2025-05-31,295.648141392875
2025-06-01,297.92512079629427
2025-06-02,277.7461079568317
2025-06-03,296.33491745878143
2025-06-04,297.8875533721659
2025-06-05,278.0685811866677
2025-06-06,329.99407864994424
2025-06-07,302.47192888648937
2025-06-08,269.47981751514396
2025-06-09,306.74174515814957
2025-06-10,274.4162289561178
2025-06-11,309.9453846314626
2025-06-12,317.66431371335267
2025-06-13,278.3625848006362
2025-06-14,314.3229437683412
2025-06-15,303.5858336173721
2025-06-16,312.0420602538726
2025-06-17,333.80345219360925
2025-06-18,291.2229058068578
2025-06-19,281.3156081991258
2025-06-20,278.85654271035514
2025-06-21,280.58421149905735
2025-06-22,295.60930546963283
2025-06-23,304.2228894522167
2025-06-24,303.1800160680207
2025-06-25,314.43430764449755
2025-06-26,298.3934687350115
2025-06-27,327.44550001031405
2025-06-28,293.32192280792617
2025-06-29,353.2577916853156
2025-06-30,311.6064667688546
2025-07-01,282.1882976172077
2025-07-02,278.15180019434337
2025-07-03,309.45742739240825
2025-07-04,295.5774348410587
2025-07-05,314.56604931025555
2025-07-06,309.9910329254022
2025-07-07,299.3110897505081
2025-07-08,284.07458187595375
2025-07-09,270.9579543259614
2025-07-10,292.57094990387463
2025-07-11,318.87773512965356
2025-07-12,306.28255658533703
2025-07-13,277.33949202399356
2025-07-14,305.97438593184705
2025-07-15,310.4767783687605
2025-07-16,285.35635763654597
2025-07-17,306.3747439660267
2025-07-18,304.7350581913768
2025-07-19,280.9862717610317
2025-07-20,311.2806149403941
2025-07-21,315.6243872952591
2025-07-22,326.3584312079908
2025-07-23,326.06727758113277
2025-07-24,277.73703855648415
2025-07-25,286.8387106435995
2025-07-26,316.20653377701854
2025-07-27,316.498229492294
2025-07-28,316.84644308002476
2025-07-29,383.92962480800117
2025-07-30,318.629065599401
2025-07-31,330.26580931630934
2025-08-01,326.98497756460824
2025-08-02,321.2906395412574
2025-08-03,302.3229478639316
2025-08-04,324.1810987465691
2025-08-05,293.92666995137716
2025-08-06,305.036552931522
2025-08-07,300.46390598923387
2025-08-08,312.215620285821
2025-08-09,357.28718309354554
2025-08-10,274.0736982755162
2025-08-11,325.5785121017061
2025-08-12,280.0428097706978
2025-08-13,303.31201562738084
2025-08-14,334.99308871824377
2025-08-15,314.97318738920876
2025-08-16,292.6164733866045
2025-08-17,300.35953068045313
2025-08-18,328.7624289227208
2025-08-19,301.0788195704802
2025-08-20,320.54198426119297
2025-08-21,317.6620611036041
2025-08-22,304.26774702348774
2025-08-23,360.7392461754279
2025-08-24,331.1109954989877
2025-08-25,278.51381029146
2025-08-26,323.3417441626532
2025-08-27,306.9850223068983
2025-08-28,337.88975536235534
2025-08-29,305.6233960999566
2025-08-30,319.8243275183355
2025-08-31,332.87670511117955
2025-09-01,340.7627549809034
2025-09-02,300.12532979207583
2025-09-03,318.1378783824756
2025-09-04,316.0387995697058
2025-09-05,313.19419666086304
2025-09-06,362.30632582838365
2025-09-07,335.84682654262315
2025-09-08,303.2930595289192
2025-09-09,347.6452182133724
2025-09-10,372.52213354855803
2025-09-11,351.5332260634799
2025-09-12,301.31540080119026
2025-09-13,322.85104893093296
2025-09-14,358.721013453049
2025-09-15,320.0906656769994
2025-09-16,343.9959829282049
2025-09-17,351.50215585251834
2025-09-18,318.37514875110566
2025-09-19,336.6419951096764
2025-09-20,273.9404135117074
2025-09-21,319.22582868611175
2025-09-22,335.62464757040993
2025-09-23,316.69742436982153
2025-09-24,375.29307592295436
2025-09-25,315.0485002923459
2025-09-26,335.87165968384636
2025-09-27,348.32334910684784
2025-09-28,375.5847767053673
2025-09-29,319.1076407442412
2025-09-30,372.16854101146123
2025-10-01,350.20512423358224
2025-10-02,331.4803029789476
2025-10-03,361.4773711210834
2025-10-04,357.3561261503945
2025-10-05,342.52501819702076
2025-10-06,357.09459738694693
2025-10-07,349.1762393114738
2025-10-08,360.35154412643607
2025-10-09,372.5371975272621
2025-10-10,392.2429740933176
2025-10-11,337.00901017486945
2025-10-12,405.68325606745697
2025-10-13,325.25264012108033
2025-10-14,362.5449896263816
2025-10-15,378.64776342173155
2025-10-16,373.8163569554744
2025-10-17,357.0719379923907
2025-10-18,366.70713234457793
2025-10-19,362.36737527228547
2025-10-20,361.81200636887957
2025-10-21,391.9772610213478
2025-10-22,383.52537135507777
2025-10-23,363.9405480916513
2025-10-24,397.21815839755857
2025-10-25,386.8132173818919
2025-10-26,398.37907920917485
2025-10-27,396.1824619272887
2025-10-28,368.49136212891085
2025-10-29,375.36223446812323
2025-10-30,403.01941871338494
2025-10-31,401.8016205392224
2025-11-01,390.70970427286096
2025-11-02,395.0205282546345
2025-11-03,419.78611389778087
2025-11-04,383.97267826763033
2025-11-05,408.32965841981854
2025-11-06,394.93963356139363
2025-11-07,396.2376621860624
2025-11-08,424.1864959601468
2025-11-09,420.3506772833647
2025-11-10,421.7554953318598
2025-11-11,433.2492307741036
2025-11-12,409.2253186016736
2025-11-13,424.12095553044725
2025-11-14,405.9641113049837
2025-11-15,420.35104538622954
2025-11-16,412.97367310951455
2025-11-17,419.2356325870226
2025-11-18,430.9282123143438
2025-11-19,404.4000092693705
2025-11-20,464.36132240701505
2025-11-21,404.1519933694532
2025-11-22,401.75674746505916
2025-11-23,450.98013220600325
2025-11-24,445.4375788718799
2025-11-25,443.8819431079135
2025-11-26,445.7702839091913
2025-11-27,434.7706615220434
2025-11-28,418.8909177296322
2025-11-29,440.18047563076186
2025-11-30,426.9572845112185
2025-12-01,461.8465841933232
2025-12-02,441.25402849603597
2025-12-03,429.5433117497765
2025-12-04,441.49048640958995
2025-12-05,458.0484208865624
2025-12-06,440.3933013407772
2025-12-07,437.1075662547463
2025-12-08,460.3158486429326
2025-12-09,462.2372801018167
2025-12-10,449.1004073068358
2025-12-11,451.72506692990595
2025-12-12,467.6983947834136
2025-12-13,436.0120321570193
2025-12-14,438.74528418711975
2025-12-15,454.45079011582845
2025-12-16,466.47987572643723
2025-12-17,478.8998976270472
2025-12-18,504.12533440306845
2025-12-19,493.7111542837963
2025-12-20,475.3019818206572
2025-12-21,480.0660076438613
2025-12-22,462.3438617839199
2025-12-23,483.9745898832802
2025-12-24,480.52411728432196
2025-12-25,494.70587974098345
2025-12-26,473.66263569757575
2025-12-27,502.55120454910303
2025-12-28,524.7770916021856
2025-12-29,493.9059142519234
2025-12-30,506.074665535286
2025-12-31,513.8028798342223
